Title,Skills,Description,Location,Experience,Cleaned_Description,Extracted_Skills
Full Stack Engineer,"Node.js, Flask, Angular, Machine Learning","Full Stack Engineer role requires expertise in Node.js, Flask, Angular, Machine Learning.",Noida,9 years,"full stack engineer role requires expertise in node.js, flask, angular, machine learning.","['node.js', 'flask', 'angular', 'machine learning']"
Business Analyst,"Cloud, React, Flask, SQL, Python, Node.js","Business Analyst role requires expertise in Cloud, React, Flask, SQL, Python, Node.js.",Ahmedabad,10 years,"business analyst role requires expertise in cloud, react, flask, sql, python, node.js.","['cloud', 'react', 'flask', 'sql', 'python', 'node.js']"
Frontend Developer,"NLP, HTML, Flask","Frontend Developer role requires expertise in NLP, HTML, Flask.",Ahmedabad,7 years,"frontend developer role requires expertise in nlp, html, flask.","['nlp', 'html', 'flask']"
Business Analyst,"C++, Cloud, Kubernetes, Django, Node.js","Business Analyst role requires expertise in C++, Cloud, Kubernetes, Django, Node.js.",Delhi,12 years,"business analyst role requires expertise in c++, cloud, kubernetes, django, node.js.","['c++', 'cloud', 'kubernetes', 'django', 'node.js']"
Frontend Developer,"Django, Cybersecurity, Spring, Cloud, DevOps, CSS","Frontend Developer role requires expertise in Django, Cybersecurity, Spring, Cloud, DevOps, CSS.",Delhi,5 years,"frontend developer role requires expertise in django, cybersecurity, spring, cloud, devops, css.","['django', 'cybersecurity', 'spring', 'cloud', 'devops', 'css']"
Frontend Developer,"Azure, Cloud, Machine Learning, JavaScript","Frontend Developer role requires expertise in Azure, Cloud, Machine Learning, JavaScript.",Chennai,9 years,"frontend developer role requires expertise in azure, cloud, machine learning, javascript.","['azure', 'cloud', 'machine learning', 'javascript']"
DevOps Engineer,"Python, AWS, Cloud, Angular","DevOps Engineer role requires expertise in Python, AWS, Cloud, Angular.",Pune,2 years,"devops engineer role requires expertise in python, aws, cloud, angular.","['python', 'aws', 'cloud', 'angular']"
DevOps Engineer,"Node.js, Testing, CSS, Data Analysis, SQL","DevOps Engineer role requires expertise in Node.js, Testing, CSS, Data Analysis, SQL.",Kolkata,5 years,"devops engineer role requires expertise in node.js, testing, css, data analysis, sql.","['node.js', 'testing', 'css', 'data analysis', 'sql']"
ML Engineer,"C++, Automation, React, Java","ML Engineer role requires expertise in C++, Automation, React, Java.",Bangalore,9 years,"ml engineer role requires expertise in c++, automation, react, java.","['c++', 'automation', 'react', 'java']"
Backend Developer,"C++, DevOps, CSS, Automation, SQL","Backend Developer role requires expertise in C++, DevOps, CSS, Automation, SQL.",Delhi,7 years,"backend developer role requires expertise in c++, devops, css, automation, sql.","['c++', 'devops', 'css', 'automation', 'sql']"
ML Engineer,"Python, Machine Learning, CSS, SQL, Data Analysis","ML Engineer role requires expertise in Python, Machine Learning, CSS, SQL, Data Analysis.",Chennai,8 years,"ml engineer role requires expertise in python, machine learning, css, sql, data analysis.","['python', 'machine learning', 'css', 'sql', 'data analysis']"
ML Engineer,"Django, Docker, Angular, Machine Learning, Kubernetes, HTML","ML Engineer role requires expertise in Django, Docker, Angular, Machine Learning, Kubernetes, HTML.",Gurgaon,2 years,"ml engineer role requires expertise in django, docker, angular, machine learning, kubernetes, html.","['django', 'docker', 'angular', 'machine learning', 'kubernetes', 'html']"
Frontend Developer,"Automation, Testing, Python","Frontend Developer role requires expertise in Automation, Testing, Python.",Mumbai,6 years,"frontend developer role requires expertise in automation, testing, python.","['automation', 'testing', 'python']"
Data Scientist,"Machine Learning, NLP, Angular, .NET, HTML","Data Scientist role requires expertise in Machine Learning, NLP, Angular, .NET, HTML.",Ahmedabad,3 years,"data scientist role requires expertise in machine learning, nlp, angular, .net, html.","['machine learning', 'nlp', 'angular', '.net', 'html']"
Frontend Developer,"React, JavaScript, Automation, HTML, Kubernetes, Data Analysis","Frontend Developer role requires expertise in React, JavaScript, Automation, HTML, Kubernetes, Data Analysis.",Pune,4 years,"frontend developer role requires expertise in react, javascript, automation, html, kubernetes, data analysis.","['react', 'javascript', 'automation', 'html', 'kubernetes', 'data analysis']"
Backend Developer,"NLP, Java, Angular, HTML, Automation","Backend Developer role requires expertise in NLP, Java, Angular, HTML, Automation.",Bangalore,5 years,"backend developer role requires expertise in nlp, java, angular, html, automation.","['nlp', 'java', 'angular', 'html', 'automation']"
Cloud Engineer,"DevOps, Django, HTML","Cloud Engineer role requires expertise in DevOps, Django, HTML.",Bangalore,3 years,"cloud engineer role requires expertise in devops, django, html.","['devops', 'django', 'html']"
System Administrator,".NET, HTML, DevOps, Spring, JavaScript, Kubernetes","System Administrator role requires expertise in .NET, HTML, DevOps, Spring, JavaScript, Kubernetes.",Bangalore,7 years,"system administrator role requires expertise in .net, html, devops, spring, javascript, kubernetes.","['.net', 'html', 'devops', 'spring', 'javascript', 'kubernetes']"
Data Scientist,"Data Analysis, Cybersecurity, Django, .NET, HTML","Data Scientist role requires expertise in Data Analysis, Cybersecurity, Django, .NET, HTML.",Chennai,9 years,"data scientist role requires expertise in data analysis, cybersecurity, django, .net, html.","['data analysis', 'cybersecurity', 'django', '.net', 'html']"
Backend Developer,"Spring, React, Python, JavaScript","Backend Developer role requires expertise in Spring, React, Python, JavaScript.",Ahmedabad,2 years,"backend developer role requires expertise in spring, react, python, javascript.","['spring', 'react', 'python', 'javascript']"
Backend Developer,"CSS, .NET, Angular, Cloud, React","Backend Developer role requires expertise in CSS, .NET, Angular, Cloud, React.",Mumbai,4 years,"backend developer role requires expertise in css, .net, angular, cloud, react.","['css', '.net', 'angular', 'cloud', 'react']"
Data Scientist,"Data Analysis, Automation, CSS, Azure","Data Scientist role requires expertise in Data Analysis, Automation, CSS, Azure.",Bangalore,12 years,"data scientist role requires expertise in data analysis, automation, css, azure.","['data analysis', 'automation', 'css', 'azure']"
DevOps Engineer,"Node.js, DevOps, Django","DevOps Engineer role requires expertise in Node.js, DevOps, Django.",Kolkata,2 years,"devops engineer role requires expertise in node.js, devops, django.","['node.js', 'devops', 'django']"
UI/UX Designer,"Cloud, .NET, Data Analysis","UI/UX Designer role requires expertise in Cloud, .NET, Data Analysis.",Chennai,8 years,"ui/ux designer role requires expertise in cloud, .net, data analysis.","['cloud', '.net', 'data analysis']"
Full Stack Engineer,"Java, AWS, NLP, Automation","Full Stack Engineer role requires expertise in Java, AWS, NLP, Automation.",Mumbai,2 years,"full stack engineer role requires expertise in java, aws, nlp, automation.","['java', 'aws', 'nlp', 'automation']"
Full Stack Engineer,"Docker, Testing, React, Cybersecurity","Full Stack Engineer role requires expertise in Docker, Testing, React, Cybersecurity.",Mumbai,12 years,"full stack engineer role requires expertise in docker, testing, react, cybersecurity.","['docker', 'testing', 'react', 'cybersecurity']"
Backend Developer,"Testing, Spring, JavaScript, C++, HTML, Flask","Backend Developer role requires expertise in Testing, Spring, JavaScript, C++, HTML, Flask.",Hyderabad,2 years,"backend developer role requires expertise in testing, spring, javascript, c++, html, flask.","['testing', 'spring', 'javascript', 'c++', 'html', 'flask']"
Backend Developer,"AWS, Angular, NLP, React","Backend Developer role requires expertise in AWS, Angular, NLP, React.",Chennai,4 years,"backend developer role requires expertise in aws, angular, nlp, react.","['aws', 'angular', 'nlp', 'react']"
Software Tester,"HTML, .NET, DevOps, AWS","Software Tester role requires expertise in HTML, .NET, DevOps, AWS.",Chennai,4 years,"software tester role requires expertise in html, .net, devops, aws.","['html', '.net', 'devops', 'aws']"
Project Manager,"Node.js, .NET, HTML","Project Manager role requires expertise in Node.js, .NET, HTML.",Bangalore,12 years,"project manager role requires expertise in node.js, .net, html.","['node.js', '.net', 'html']"
Frontend Developer,"Cybersecurity, Python, Docker, React, Java, Azure","Frontend Developer role requires expertise in Cybersecurity, Python, Docker, React, Java, Azure.",Ahmedabad,3 years,"frontend developer role requires expertise in cybersecurity, python, docker, react, java, azure.","['cybersecurity', 'python', 'docker', 'react', 'java', 'azure']"
Data Scientist,"Flask, Django, NLP","Data Scientist role requires expertise in Flask, Django, NLP.",Bangalore,8 years,"data scientist role requires expertise in flask, django, nlp.","['flask', 'django', 'nlp']"
Cloud Engineer,"Automation, Spring, Azure, DevOps, Testing, HTML","Cloud Engineer role requires expertise in Automation, Spring, Azure, DevOps, Testing, HTML.",Ahmedabad,7 years,"cloud engineer role requires expertise in automation, spring, azure, devops, testing, html.","['automation', 'spring', 'azure', 'devops', 'testing', 'html']"
Full Stack Engineer,"Azure, Docker, C++, Machine Learning","Full Stack Engineer role requires expertise in Azure, Docker, C++, Machine Learning.",Mumbai,1 years,"full stack engineer role requires expertise in azure, docker, c++, machine learning.","['azure', 'docker', 'c++', 'machine learning']"
Data Scientist,"Data Analysis, Python, Node.js, React, Spring, DevOps","Data Scientist role requires expertise in Data Analysis, Python, Node.js, React, Spring, DevOps.",Gurgaon,5 years,"data scientist role requires expertise in data analysis, python, node.js, react, spring, devops.","['data analysis', 'python', 'node.js', 'react', 'spring', 'devops']"
Business Analyst,"Azure, Cybersecurity, AWS, .NET, DevOps","Business Analyst role requires expertise in Azure, Cybersecurity, AWS, .NET, DevOps.",Ahmedabad,12 years,"business analyst role requires expertise in azure, cybersecurity, aws, .net, devops.","['azure', 'cybersecurity', 'aws', '.net', 'devops']"
Software Tester,"Angular, Machine Learning, DevOps, Testing","Software Tester role requires expertise in Angular, Machine Learning, DevOps, Testing.",Kolkata,7 years,"software tester role requires expertise in angular, machine learning, devops, testing.","['angular', 'machine learning', 'devops', 'testing']"
Business Analyst,"DevOps, Django, NLP, React","Business Analyst role requires expertise in DevOps, Django, NLP, React.",Pune,11 years,"business analyst role requires expertise in devops, django, nlp, react.","['devops', 'django', 'nlp', 'react']"
ML Engineer,"AWS, Spring, NLP, Django, CSS","ML Engineer role requires expertise in AWS, Spring, NLP, Django, CSS.",Kolkata,6 years,"ml engineer role requires expertise in aws, spring, nlp, django, css.","['aws', 'spring', 'nlp', 'django', 'css']"
DevOps Engineer,"Django, Docker, Spring","DevOps Engineer role requires expertise in Django, Docker, Spring.",Bangalore,6 years,"devops engineer role requires expertise in django, docker, spring.","['django', 'docker', 'spring']"
ML Engineer,"Automation, AWS, Kubernetes, .NET, Flask, DevOps","ML Engineer role requires expertise in Automation, AWS, Kubernetes, .NET, Flask, DevOps.",Ahmedabad,8 years,"ml engineer role requires expertise in automation, aws, kubernetes, .net, flask, devops.","['automation', 'aws', 'kubernetes', '.net', 'flask', 'devops']"
System Administrator,".NET, Python, Java","System Administrator role requires expertise in .NET, Python, Java.",Pune,4 years,"system administrator role requires expertise in .net, python, java.","['.net', 'python', 'java']"
UI/UX Designer,"NLP, Django, Testing, Python, Kubernetes, Data Analysis","UI/UX Designer role requires expertise in NLP, Django, Testing, Python, Kubernetes, Data Analysis.",Pune,4 years,"ui/ux designer role requires expertise in nlp, django, testing, python, kubernetes, data analysis.","['nlp', 'django', 'testing', 'python', 'kubernetes', 'data analysis']"
Backend Developer,"JavaScript, .NET, CSS, Machine Learning, Azure","Backend Developer role requires expertise in JavaScript, .NET, CSS, Machine Learning, Azure.",Noida,4 years,"backend developer role requires expertise in javascript, .net, css, machine learning, azure.","['javascript', '.net', 'css', 'machine learning', 'azure']"
DevOps Engineer,"Automation, Angular, Cloud, NLP","DevOps Engineer role requires expertise in Automation, Angular, Cloud, NLP.",Bangalore,7 years,"devops engineer role requires expertise in automation, angular, cloud, nlp.","['automation', 'angular', 'cloud', 'nlp']"
Data Scientist,".NET, Java, HTML","Data Scientist role requires expertise in .NET, Java, HTML.",Noida,1 years,"data scientist role requires expertise in .net, java, html.","['.net', 'java', 'html']"
DevOps Engineer,"Cloud, AWS, Azure, Node.js, NLP, C++","DevOps Engineer role requires expertise in Cloud, AWS, Azure, Node.js, NLP, C++.",Bangalore,2 years,"devops engineer role requires expertise in cloud, aws, azure, node.js, nlp, c++.","['cloud', 'aws', 'azure', 'node.js', 'nlp', 'c++']"
ML Engineer,"Cloud, Python, Django, Kubernetes","ML Engineer role requires expertise in Cloud, Python, Django, Kubernetes.",Hyderabad,9 years,"ml engineer role requires expertise in cloud, python, django, kubernetes.","['cloud', 'python', 'django', 'kubernetes']"
Project Manager,"JavaScript, Data Analysis, Cloud, C++, Java","Project Manager role requires expertise in JavaScript, Data Analysis, Cloud, C++, Java.",Noida,4 years,"project manager role requires expertise in javascript, data analysis, cloud, c++, java.","['javascript', 'data analysis', 'cloud', 'c++', 'java']"
DevOps Engineer,"Azure, CSS, Kubernetes, DevOps","DevOps Engineer role requires expertise in Azure, CSS, Kubernetes, DevOps.",Chennai,9 years,"devops engineer role requires expertise in azure, css, kubernetes, devops.","['azure', 'css', 'kubernetes', 'devops']"
DevOps Engineer,"Data Analysis, Flask, Spring","DevOps Engineer role requires expertise in Data Analysis, Flask, Spring.",Kolkata,2 years,"devops engineer role requires expertise in data analysis, flask, spring.","['data analysis', 'flask', 'spring']"
Software Tester,"Azure, Node.js, Java, SQL","Software Tester role requires expertise in Azure, Node.js, Java, SQL.",Kolkata,9 years,"software tester role requires expertise in azure, node.js, java, sql.","['azure', 'node.js', 'java', 'sql']"
Backend Developer,"Azure, Docker, Testing, React, Spring","Backend Developer role requires expertise in Azure, Docker, Testing, React, Spring.",Noida,1 years,"backend developer role requires expertise in azure, docker, testing, react, spring.","['azure', 'docker', 'testing', 'react', 'spring']"
Data Scientist,"Kubernetes, NLP, Python","Data Scientist role requires expertise in Kubernetes, NLP, Python.",Chennai,9 years,"data scientist role requires expertise in kubernetes, nlp, python.","['kubernetes', 'nlp', 'python']"
Backend Developer,"Automation, Flask, Data Analysis","Backend Developer role requires expertise in Automation, Flask, Data Analysis.",Chennai,12 years,"backend developer role requires expertise in automation, flask, data analysis.","['automation', 'flask', 'data analysis']"
Cloud Engineer,"Automation, Machine Learning, Django, Testing, C++, SQL","Cloud Engineer role requires expertise in Automation, Machine Learning, Django, Testing, C++, SQL.",Hyderabad,8 years,"cloud engineer role requires expertise in automation, machine learning, django, testing, c++, sql.","['automation', 'machine learning', 'django', 'testing', 'c++', 'sql']"
DevOps Engineer,"Django, Data Analysis, Flask","DevOps Engineer role requires expertise in Django, Data Analysis, Flask.",Hyderabad,8 years,"devops engineer role requires expertise in django, data analysis, flask.","['django', 'data analysis', 'flask']"
